item_icon_id,icon_serial_no,file_name,asset_path_hint,item_name,name_string_id,item_description,primary_icon_group,is_ingredient,is_food,is_resource,is_aidong_pedia_item,ingredient_tags,food_tags,resource_tags,pedia_item_tags,visual_tags,style_pack,source_folder,source_file_name,generation_prompt,release_status,is_enabled,_planner_note,_check_status,_source_csv,_updated_at
ICON-0001,1,p_0001_baljaguk.png,image/item_icon/full/p_0001_baljaguk.png,발자국,,아이동·pedia 오브젝트 > 일반 소품,aidong_pedia_item,N,N,N,Y,,,,아이동·pedia 오브젝트|일반 소품,발자국|아이동·pedia 오브젝트,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,001_발자국_등불_리본_편지함_개인섬미니맵_마이크_시계_노트_도장.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
ICON-0002,2,p_0002_deungbul.png,image/item_icon/phase1/p_0002_deungbul.png,등불,,아이동·pedia 오브젝트 > 일반 소품,aidong_pedia_item,N,N,N,Y,,,,아이동·pedia 오브젝트|일반 소품,등불|아이동·pedia 오브젝트,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,001_발자국_등불_리본_편지함_개인섬미니맵_마이크_시계_노트_도장.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
ICON-0003,3,p_0003_ribon.png,image/item_icon/full/p_0003_ribon.png,리본,,장식·파티·선물 > 일반 소품,aidong_pedia_item,N,N,N,Y,,,,장식·파티·선물|일반 소품,리본|장식·파티·선물,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,001_발자국_등불_리본_편지함_개인섬미니맵_마이크_시계_노트_도장.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
ICON-0004,4,p_0004_pyeonjiham.png,image/item_icon/full/p_0004_pyeonjiham.png,편지함,,아이동·pedia 오브젝트 > 일반 소품,aidong_pedia_item,N,N,N,Y,,,,아이동·pedia 오브젝트|일반 소품,편지함|아이동·pedia 오브젝트,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,001_발자국_등불_리본_편지함_개인섬미니맵_마이크_시계_노트_도장.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
ICON-0005,5,p_0005_gaeinseomminimaep.png,image/item_icon/full/p_0005_gaeinseomminimaep.png,개인섬미니맵,,여행·야외·탐험 > 일반 소품,aidong_pedia_item,N,N,N,Y,,,,여행·야외·탐험|일반 소품,개인섬미니맵|여행·야외·탐험,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,001_발자국_등불_리본_편지함_개인섬미니맵_마이크_시계_노트_도장.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
ICON-0006,6,p_0006_maikeu.png,image/item_icon/phase1/p_0006_maikeu.png,마이크,,아이돌·공연 > 일반 소품,aidong_pedia_item,N,N,N,Y,,,,아이돌·공연|일반 소품,마이크|아이돌·공연,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,001_발자국_등불_리본_편지함_개인섬미니맵_마이크_시계_노트_도장.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
ICON-0007,7,p_0007_sigye.png,image/item_icon/full/p_0007_sigye.png,시계,,아이동·pedia 오브젝트 > 일반 소품,aidong_pedia_item,N,N,N,Y,,,,아이동·pedia 오브젝트|일반 소품,시계|아이동·pedia 오브젝트,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,001_발자국_등불_리본_편지함_개인섬미니맵_마이크_시계_노트_도장.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
ICON-0008,8,p_0008_noteu.png,image/item_icon/phase1/p_0008_noteu.png,노트,,문구·사무·기록 > 문서형 > 문서형/노트,mixed,N,N,Y,Y,,,종이|문서형|문서형/노트|문구·사무·기록,문구·사무·기록|문서형|문서형/노트,노트|문구·사무·기록,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,001_발자국_등불_리본_편지함_개인섬미니맵_마이크_시계_노트_도장.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
ICON-0009,9,p_0009_dojang.png,image/item_icon/phase1/p_0009_dojang.png,도장,,문구·사무·기록 > 일반 소품,aidong_pedia_item,N,N,N,Y,,,,문구·사무·기록|일반 소품,도장|문구·사무·기록,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,001_발자국_등불_리본_편지함_개인섬미니맵_마이크_시계_노트_도장.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
ICON-0010,10,p_0010_batchim.png,image/item_icon/full/p_0010_batchim.png,받침,,아이동·pedia 오브젝트 > 받침 > 받침/받침,aidong_pedia_item,N,N,N,Y,,,,아이동·pedia 오브젝트|받침|받침/받침,받침|아이동·pedia 오브젝트,sheets_아이동_구형_pedia_folk_flat,sheets_아이동_구형_pedia_folk_flat,002_받침_우표_깃발핀_나뭇가지_단추_봉투_상자_손잡이_스푼.png,,active,Y,,,X-ITM-00_item_icon_master.csv,2026-06-29
