persona_part_default_id,aidong_id,part_slot_id,slot_key,default_option_id,default_value,value_label,is_identity_locked,sort_order,is_enabled,_planner_note,_check_status,_source_csv,_updated_at
PRS-DEF-AIDONG-0019-01,AIDONG-0019,PRS-SLOT-SILHOUETTE,silhouette_type,,SD 강아지 마스코트. 둥근 완구감과 읽기 쉬운 강아지 실루엣,SD 강아지 마스코트. 둥근 완구감과 읽기 쉬운 강아지 실루엣,Y,1,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
PRS-DEF-AIDONG-0019-02,AIDONG-0019,PRS-SLOT-FACE-RHYTHM,face_rhythm,,"직접 얼굴 재현이 아니라 눈빛, 귀 각도, 입꼬리의 리듬으로 표현","직접 얼굴 재현이 아니라 눈빛, 귀 각도, 입꼬리의 리듬으로 표현",Y,2,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
PRS-DEF-AIDONG-0019-03,AIDONG-0019,PRS-SLOT-EAR-SHAPE,ear_shape,,작게 반응하는 강아지 귀,작게 반응하는 강아지 귀,Y,3,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
PRS-DEF-AIDONG-0019-04,AIDONG-0019,PRS-SLOT-TAIL-SHAPE,tail_shape,,리듬에 맞춰 흔들리는 강아지 꼬리,리듬에 맞춰 흔들리는 강아지 꼬리,Y,4,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
PRS-DEF-AIDONG-0019-05,AIDONG-0019,PRS-SLOT-PAW-MARK,paw_mark,,갭댄스멍발자국,갭댄스멍발자국,Y,5,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
PRS-DEF-AIDONG-0019-06,AIDONG-0019,PRS-SLOT-MOVEMENT,movement_style,,갭댄스멍등을 들고 강아지리본 쪽으로 움직이며 작은 장난으로 장면을 푼다,갭댄스멍등을 들고 강아지리본 쪽으로 움직이며 작은 장난으로 장면을 푼다,Y,6,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
PRS-DEF-AIDONG-0019-07,AIDONG-0019,PRS-SLOT-COLOR-MOOD,color_mood,,"AB6IX 음반 메타포의 빛, 갭의 대비감, 강아지 기본색","AB6IX 음반 메타포의 빛, 갭의 대비감, 강아지 기본색",Y,7,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
PRS-DEF-AIDONG-0019-08,AIDONG-0019,PRS-SLOT-ATTITUDE,attitude_part,,"과시보다 준비, 관찰, 반응의 리듬","과시보다 준비, 관찰, 반응의 리듬",Y,8,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
PRS-DEF-AIDONG-0019-09,AIDONG-0019,PRS-SLOT-STAGE,stage_part,,갭댄스멍등과 강아지리본으로 옮긴 무대감,갭댄스멍등과 강아지리본으로 옮긴 무대감,Y,9,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
PRS-DEF-AIDONG-0019-10,AIDONG-0019,PRS-SLOT-RELATION,relation_part,,갭댄스멍발자국과 박우진마이크에 보관한 친밀도 감각,갭댄스멍발자국과 박우진마이크에 보관한 친밀도 감각,Y,10,Y,,,X-CHR-06_aidong_persona_part_default.csv,2026-06-29
